Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,119.015999,0.000000,0.000000,122.927002,122.927002,0
2019-04-01,124.458000,0.000000,0.000000,127.921997,127.921997,0
2019-05-01,126.775002,0.000000,0.000000,118.799004,118.799004,0
2019-06-01,118.367996,0.000000,0.000000,125.135002,125.135002,0
2019-07-01,126.850998,0.000000,0.000000,128.774002,128.774002,0
2019-08-01,128.996002,0.000000,0.000000,128.089996,128.089996,0
2019-09-01,127.223999,0.000000,0.000000,127.554001,127.554001,0
2019-10-01,126.238998,0.000000,0.000000,128.113007,128.113007,0
2019-11-01,129.108002,0.000000,0.000000,137.343994,137.343994,0
2019-12-01,135.031006,0.000000,0.000000,138.046005,138.046005,0
2020-01-01,140.574997,0.000000,0.000000,145.867004,145.867004,0
2020-02-01,148.957993,0.000000,0.000000,139.013000,139.013000,0
2020-03-01,142.720001,0.000000,0.000000,123.469002,123.469002,0
2020-04-01,118.112000,0.000000,0.000000,142.813004,142.813004,0
2020-05-01,138.117004,0.000000,0.000000,153.705002,153.705002,0
2020-06-01,155.037003,0.000000,0.000000,163.123001,163.123001,0
2020-07-01,165.673996,0.000000,0.000000,167.459000,167.459000,0
2020-08-01,171.483002,0.000000,0.000000,186.817001,186.817001,0
2020-09-01,190.050995,0.000000,0.000000,179.763000,179.763000,0
2020-10-01,183.041000,0.000000,0.000000,172.996994,172.996994,0
2020-11-01,173.554001,0.000000,0.000000,190.197998,190.197998,0
2020-12-01,190.867004,0.000000,0.000000,195.281006,195.281006,0
2021-01-01,192.410995,0.000000,0.000000,194.921005,194.921005,0
2021-02-01,201.328995,0.000000,0.000000,197.272003,197.272003,0
2021-03-01,204.748001,0.000000,0.000000,196.983994,196.983994,0
2021-04-01,201.134003,0.000000,0.000000,207.535004,207.535004,0
2021-05-01,200.240997,0.000000,0.000000,198.306000,198.306000,0
2021-06-01,197.246994,0.000000,0.000000,220.957001,220.957001,0
2021-07-01,221.061996,0.000000,0.000000,226.509995,226.509995,0
2021-08-01,227.878006,0.000000,0.000000,234.615005,234.615005,0
2021-09-01,234.593994,0.000000,0.000000,226.740997,226.740997,0
2021-10-01,228.695999,0.000000,0.000000,246.024994,246.024994,0
2021-11-01,247.175995,0.000000,0.000000,250.011993,250.011993,0
2021-12-01,240.764999,0.000000,0.000000,239.959000,239.959000,0
2022-01-01,238.608994,0.000000,0.000000,212.059006,212.059006,0
2022-02-01,213.533005,0.000000,0.000000,201.237000,201.237000,0
2022-03-01,199.018997,0.000000,0.000000,209.744995,209.744995,0
2022-04-01,212.740997,0.000000,0.000000,187.835999,187.835999,0
2022-05-01,189.095001,0.000000,0.000000,174.399002,174.399002,0
2022-06-01,174.164001,0.000000,0.000000,164.725998,164.725998,0
2022-07-01,167.565994,0.000000,0.000000,191.962997,191.962997,0
2022-08-01,191.826004,0.000000,0.000000,184.436996,184.436996,0
2022-09-01,186.125000,0.000000,0.000000,171.306000,171.306000,0
2022-10-01,173.237000,0.000000,0.000000,175.757996,175.757996,0
2022-11-01,174.175003,0.000000,0.000000,173.000000,173.000000,0
2022-12-01,169.850998,0.000000,0.000000,152.460999,152.460999,0
2023-01-01,153.304001,0.000000,0.000000,166.363007,166.363007,0
2023-02-01,168.285995,0.000000,0.000000,167.792007,167.792007,0
2023-03-01,165.505997,0.000000,0.000000,178.024994,178.024994,0
2023-04-01,177.194000,0.000000,0.000000,177.162003,177.162003,0
2023-05-01,177.210007,0.000000,0.000000,196.548004,196.548004,0
2023-06-01,197.619003,0.000000,0.000000,205.751007,205.751007,0
2023-07-01,205.983994,0.000000,0.000000,209.811996,209.811996,0
2023-08-01,209.772003,0.000000,0.000000,210.397995,210.397995,0
2023-09-01,211.281006,0.000000,0.000000,203.548004,203.548004,0
2023-10-01,207.156998,0.000000,0.000000,201.164001,201.164001,0
2023-11-01,205.701004,0.000000,0.000000,218.063004,218.063004,0
2023-12-01,220.173004,0.000000,0.000000,225.048004,225.048004,0
2024-01-01,222.796005,0.000000,0.000000,238.884003,238.884003,0
2024-02-01,243.110992,0.000000,0.000000,257.514008,257.514008,0
